Agency,Population,Murder,Manslaughter,Rape,Fondling,Aggravated Assault,Aggravated Stalking,Simple Assault,"Threat/
Intimidation",Stalking,Total,,,
Lafayette-Florida Game Comm,0,0,0,0,0,0,0,0,0,0,0,,,
FHP - Lafayette Co,0,0,0,0,0,0,0,0,0,0,0,,,

Lake County,"316,569",1,1,37,15,200,4,"1,275",16,11,"1,560",,,

Lake County Sheriffs Office,"161,872",1,1,20,9,112,2,615,8,8,776,,,
Eustis Police Department,"19,432",0,0,2,4,11,0,129,0,0,146,,,
Leesburg Police Department,"21,547",0,0,5,1,22,2,181,0,3,214,,,
Clermont Police Department,"32,348",0,0,3,0,15,0,130,0,0,148,,,
Fruitland Park Police Department,"4,214",0,0,0,0,4,0,23,0,0,27,,,
Groveland Police Department,"12,077",0,0,1,0,3,0,23,0,0,27,,,
Howey-In-The-Hills PD,"1,106",0,0,0,0,0,0,2,0,0,2,,,
Mascotte Police Department,"5,401",0,0,0,0,1,0,22,0,0,23,,,
Minneola Police Department,"10,470",0,0,0,0,3,0,37,3,0,43,,,
Mount Dora Police Department,"13,167",0,0,1,0,16,0,80,5,0,102,,,
Tavares Police Department,"15,106",0,0,0,0,8,0,5,0,0,13,,,
Umatilla Police Department,"3,798",0,0,0,0,1,0,10,0,0,11,,,
Lady Lake Police Department,"14,207",0,0,3,1,3,0,15,0,0,22,,,
Astatula Police Department,"1,824",0,0,2,0,1,0,3,0,0,6,,,
Lake DOC Inspector General,0,0,0,0,0,0,0,0,0,0,0,,,
DABT Lake,0,0,0,0,0,0,0,0,0,0,0,,,
Lake-Florida Game Comm,0,0,0,0,0,0,0,0,0,0,0,,,
FHP - Leesburg,0,0,0,0,0,0,0,0,0,0,0,,,

Lee County,"665,845",5,1,48,40,393,1,"2,103",61,4,"2,656",,,

Lee County Sheriffs Office,"420,440",4,1,38,27,243,1,"1,163",29,2,"1,508",,,
Fort Myers Police Department,"72,395",1,0,8,12,101,0,405,24,1,552,,,
Cape Coral Police Department,"166,508",0,0,0,1,47,0,516,6,1,571,,,
Sanibel Police Department,"6,502",0,0,0,0,2,0,14,2,0,18,,,
Lee County Airport PD,0,0,0,0,0,0,0,0,0,0,0,,,
FDLE - Fort Myers RA,0,0,0,0,0,0,0,0,0,0,0,,,
Florida Gulf Coast University PD,0,0,0,0,0,0,0,0,0,0,0,,,
Edison State College,0,0,0,2,0,0,0,1,0,0,3,,,
Lee DOC Inspector General,0,0,0,0,0,0,0,0,0,0,0,,,
DABT - Lee,0,0,0,0,0,0,0,0,0,0,0,,,
Lee-Division of Insurance Fraud,0,0,0,0,0,0,0,0,0,0,0,,,
Lee-Florida Game Comm,0,0,0,0,0,0,0,0,0,0,0,,,
FHP - Fort Myers,0,0,0,0,0,0,0,4,0,0,4,,,

Leon County,"284,443",1,1,34,39,382,2,"1,467",14,13,"1,953",,,

Leon County Sheriffs Office,"96,447",0,0,5,18,93,0,375,5,4,500,,,
Tallahassee Police Department,"187,996",1,1,29,21,286,2,"1,083",7,9,"1,439",,,
FDLE - Tallahassee,0,0,0,0,0,0,0,0,0,0,0,,,
Florida State University PD,0,0,0,0,0,1,0,4,0,0,5,,,
Florida A&M University PD,0,0,0,0,0,0,0,3,0,0,3,,,
Leon-Florida Game Comm,0,0,0,0,0,0,0,0,0,0,0,,,
Florida Capitol Police,0,0,0,0,0,0,0,0,0,0,0,,,
Leon-Division of Insurance Fraud,0,0,0,0,0,0,0,0,0,0,0,,,
TCC Police Department,0,0,0,0,0,0,0,2,2,0,4,,,
Leon DOC Inspector General,0,0,0,0,0,0,0,0,0,0,0,,,
DABT - Tallahassee,0,0,0,0,0,0,0,0,0,0,0,,,
FHP - Tallahassee,0,0,0,0,0,2,0,0,0,0,2,,,

Levy County,"40,448",3,0,7,0,350,0,86,0,0,446,,,

Levy County Sheriffs Office,"34,751",3,0,7,0,343,0,33,0,0,386,,,
Cedar Key Police Department,696,0,0,0,0,0,0,5,0,0,5,,,
Chiefland Police Department,"2,153",0,0,0,0,6,0,40,0,0,46,,,
Williston Police Department,"2,848",0,0,0,0,1,0,8,0,0,9,,,
Levy DOC Inspector General,0,0,0,0,0,0,0,0,0,0,0,,,
DABT Levy,0,0,0,0,0,0,0,0,0,0,0,,,
Levy-Florida Game Comm,0,0,0,0,0,0,0,0,0,0,0,,,
FHP - Inglis,0,0,0,0,0,0,0,0,0,0,0,,,

Liberty County,"8,698",0,0,0,0,0,0,0,0,0,0,,,

Liberty County Sheriffs Office,"8,698",DNR,--,--,--,--,--,--,--,--,--,,,
Liberty DOC Inspector General,0,0,0,0,0,0,0,0,0,0,0,,,
DABT Liberty,0,0,0,0,0,0,0,0,0,0,0,,,
Liberty-Florida Game Comm,0,0,0,0,0,0,0,0,0,0,0,,,
FHP - Liberty Co,0,0,0,0,0,0,0,0,0,0,0,,,

Madison County,"19,200",0,0,0,0,46,0,99,1,0,146,,,

Madison County Sheriffs Office,"16,139",0,0,0,0,40,0,65,1,0,106,,,
Madison Police Department,"3,061",0,0,0,0,6,0,34,0,0,40,,,
Madison DOC Inspector General,0,0,0,0,0,0,0,0,0,0,0,,,
DABT Madison,0,0,0,0,0,0,0,0,0,0,0,,,
Madison-Florida Game Comm,0,0,0,0,0,0,0,0,0,0,0,,,
FHP - Madison,0,0,0,0,0,0,0,0,0,0,0,,,

Manatee County,"353,801",1,2,47,24,464,1,"2,217",35,2,"2,793",,,

Manatee County Sheriffs Office,"276,311",1,2,43,24,424,1,"1,908",32,2,"2,437",,,
Bradenton Police Department,"52,534",0,0,1,0,28,0,177,1,0,207,,,
Bradenton Beach Police Department,"1,178",0,0,1,0,0,0,6,0,0,7,,,
Holmes Beach Police Department,"3,851",0,0,1,0,0,0,16,0,0,17,,,
Longboat Key Police Department,"6,845",0,0,0,0,0,0,6,0,0,6,,,
Palmetto Police Department,"13,082",0,0,1,0,12,0,103,2,0,118,,,
Manatee DOC Inspector General,0,0,0,0,0,0,0,0,0,0,0,,,
DABT Manatee,0,0,0,0,0,0,0,0,0,0,0,,,
Manatee-Florida Game Comm,0,0,0,0,0,0,0,0,0,0,0,,,
FHP - Bradenton,0,0,0,0,0,0,0,1,0,0,1,,,

Marion County,"341,205",3,2,16,5,379,4,"2,075",6,16,"2,506",,,

Marion County Sheriffs Office,"276,333",2,0,10,4,311,2,"1,565",4,6,"1,904",,,
Ocala Police Department,"58,355",1,2,6,1,65,2,502,2,10,591,,,
Belleview Police Department,"4,746",0,0,0,0,2,0,8,0,0,10,,,
Dunnellon Police Department,"1,771",DNR,--,--,--,--,--,--,--,--,--,,,
Marion DOC Inspector General,0,0,0,0,0,0,0,0,0,0,0,,,
DABT - Marion,0,0,0,0,0,0,0,0,0,0,0,,,
Marion-Florida Game Comm,0,0,0,0,0,0,0,0,0,0,0,,,
FHP - Ocala,0,0,0,0,0,1,0,0,0,0,1,,,

Martin County,"150,062",0,0,10,14,76,0,458,8,3,569,,,

Martin County Sheriffs Office,"131,142",0,0,10,14,54,0,387,3,3,471,,,
Stuart Police Department,"16,110",0,0,0,0,22,0,67,4,0,93,,,
Jupiter Island Police Department,810,0,0,0,0,0,0,2,0,0,2,,,
Sewalls Point Police Department,"2,000",0,0,0,0,0,0,1,1,0,2,,,
Martin DOC Inspector General,0,0,0,0,0,0,0,0,0,0,0,,,
DABT Martin,0,0,0,0,0,0,0,0,0,0,0,,,
Martin-Florida Game Comm,0,0,0,0,0,0,0,0,0,0,0,,,
FHP - Martin Co,0,0,0,0,0,0,0,1,0,0,1,,,

Monroe County,"74,206",0,0,2,2,78,0,327,5,2,416,,,

Monroe County Sheriffs Office,"48,747",0,0,0,0,61,0,217,5,0,283,,,
Key West Police Department,"24,663",0,0,2,2,17,0,108,0,2,131,,,
Key Colony Beach Police Department,796,0,0,0,0,0,0,2,0,0,2,,,
Monroe DOC Inspector General,0,0,0,0,0,0,0,0,0,0,0,,,
DABT - Monroe,0,0,0,0,0,0,0,0,0,0,0,,,
Monroe-Florida Game Comm,0,0,0,0,0,0,0,0,0,0,0,,,
FHP - Marathon,0,0,0,0,0,0,0,0,0,0,0,,,

Nassau County,"76,536",2,0,1,1,22,1,239,16,4,286,,,

Nassau County Sheriffs Office,"64,566",2,0,1,1,19,0,213,14,4,254,,,
Fernandina Beach Police Department,"11,970",0,0,0,0,3,1,26,2,0,32,,,
Nassau DOC Inspector General,0,0,0,0,0,0,0,0,0,0,0,,,
DABT Nassau,0,0,0,0,0,0,0,0,0,0,0,,,
Nassau-Florida Game Comm,0,0,0,0,0,0,0,0,0,0,0,,,
FHP - Nassau Co,0,0,0,0,0,0,0,0,0,0,0,,,

Okaloosa County,"191,898",1,0,9,5,227,1,"1,548",35,2,"1,828",,,

Okaloosa County Sheriffs Office,"127,800",0,0,7,1,167,0,"1,197",20,0,"1,392",,,
Crestview Police Department,"23,460",0,0,2,4,47,0,284,13,2,352,,,
Fort Walton Police Department,"20,869",1,0,0,0,8,0,51,2,0,62,,,
Niceville Police Department,"13,774",0,0,0,0,4,0,11,0,0,15,,,
Valparaiso Police Department,"5,254",0,0,0,0,0,1,5,0,0,6,,,
Shalimar Police Department,741,DNR,--,--,--,--,--,--,--,--,--,,,
Okaloosa DOC Inspector General,0,0,0,0,0,0,0,0,0,0,0,,,
DABT Okaloosa,0,0,0,0,0,0,0,0,0,0,0,,,
Okaloosa-Florida Game Comm,0,0,0,0,0,0,0,0,0,0,0,,,
FHP - Crestview,0,0,0,0,0,1,0,0,0,0,1,,,

Okeechobee County,"40,052",0,0,0,0,32,0,125,0,0,157,,,

Okeechobee County Sheriffs Office,"34,518",0,0,0,0,26,0,105,0,0,131,,,
Okeechobee Police Department,"5,534",0,0,0,0,6,0,20,0,0,26,,,
Okeechobee DOC Inspector General,0,0,0,0,0,0,0,0,0,0,0,,,
DABT Okeechobee,0,0,0,0,0,0,0,0,0,0,0,,,
Okeechobee-Florida Game Comm,0,0,0,0,0,0,0,0,0,0,0,,,
FHP - Okeechobee Co,0,0,0,0,0,0,0,0,0,0,0,,,

Orange County,"1,252,396",14,0,174,54,"1,638",17,"6,782",184,38,"8,901",,,

Orange County Sheriffs Office,"800,022",7,0,114,45,925,13,"3,813",89,36,"5,042",,,
Apopka Police Department,"46,571",1,0,7,2,48,2,240,0,1,301,,,
Maitland Police Department,"17,007",0,0,0,0,14,0,56,1,0,71,,,
Ocoee Police Department,"40,171",0,0,1,1,18,0,172,4,1,197,,,
Orlando Police Department,"262,949",5,0,52,4,549,0,"2,125",79,0,"2,814",,,
Winter Garden Police Department,"39,871",1,0,0,1,43,0,232,8,0,285,,,
Winter Park Police Department,"28,967",0,0,0,0,25,2,118,3,0,148,,,
Eatonville Police Department,"2,246",DNR,--,--,--,--,--,--,--,--,--,,,
Oakland Police Department,"2,624",0,0,0,0,4,0,8,0,0,12,,,
Windermere Police Department,"2,869",0,0,0,1,4,0,0,0,0,5,,,
Edgewood Police Department,"2,635",0,0,0,0,0,0,0,0,0,0,,,
FDLE - Orlando RA,0,0,0,0,0,1,0,2,0,0,3,,,
University of Central Florida PD,0,0,0,0,0,0,0,3,0,0,3,,,
Orange DOC Inspector General,0,0,0,0,0,0,0,0,0,0,0,,,
DABT - Orange,0,0,0,0,0,0,0,0,0,0,0,,,
Orange-Division of Insurance Fraud,0,0,0,0,0,0,0,0,0,0,0,,,
Orange-Florida Game Comm,0,0,0,0,0,0,0,0,0,0,0,,,
FHP - Orlando,0,0,0,0,0,0,0,0,0,0,0,,,
Belle Isles Police Department,"6,464",0,0,0,0,7,0,13,0,0,20,,,

Osceola County,"308,327",3,0,35,21,358,8,"1,667",16,24,"2,132",,,

Osceola County Sheriffs Office,"200,419",2,0,24,9,236,5,969,14,12,"1,271",,,
St. Cloud Police Department,"41,316",0,0,4,9,35,0,273,1,2,324,,,
Kissimmee Police Department,"66,592",1,0,7,3,87,3,425,1,10,537,,,
Osceola DOC Inspector General,0,0,0,0,0,0,0,0,0,0,0,,,
DABT Osceola,0,0,0,0,0,0,0,0,0,0,0,,,
Osceola-Florida Game Comm,0,0,0,0,0,0,0,0,0,0,0,,,
FHP - Kissimmee,0,0,0,0,0,0,0,0,0,0,0,,,

Palm Beach County,"1,378,417",11,0,70,30,971,7,"3,629",44,67,"4,829",,,

Palm Beach County Sheriffs Office,"612,469",4,0,33,21,332,0,"1,459",4,47,"1,900",,,
Belle Glade Police Department,"17,448",1,0,1,0,51,0,131,0,1,185,,,
Boca Raton Police Department,"87,766",0,0,3,0,7,1,157,4,0,172,,,
Boynton Beach Police Department,"72,784",0,0,0,0,98,0,174,0,0,272,,,
Delray Beach Police Department,"63,175",0,0,4,0,51,0,183,11,0,249,,,
Lake Worth Police Department,"37,674",0,0,10,4,55,0,263,0,2,334,,,
Palm Beach Police Department,"8,041",0,0,0,0,0,0,7,0,0,7,,,
Riviera Beach Police Department,"33,953",1,0,3,2,114,4,213,19,0,356,,,
West Palm Beach Police Department,"106,525",2,0,6,0,77,0,293,0,0,378,,,
Atlantis Police Department,"2,001",0,0,0,0,1,0,0,0,0,1,,,
Greenacres City PD,"38,943",3,0,1,0,42,0,135,0,1,182,,,
Gulfstream Police Department,998,0,0,0,0,0,0,2,0,0,2,,,
Town of Hypoluxo PD,"2,691",0,0,0,0,0,0,4,0,0,4,,,
Juno Beach Police Department,"3,240",0,0,0,0,0,0,1,0,0,1,,,
Jupiter Police Department,"59,108",0,0,1,0,13,0,112,0,3,129,,,
Jupiter Inlet Colony PD,396,0,0,0,0,0,0,0,0,0,0,,,
Lake Park Police Department,"8,598",0,0,1,0,9,0,39,0,0,49,,,
Lantana Police Department,"10,705",0,0,0,0,6,0,14,2,0,22,,,
Manalapan Police Department,410,0,0,0,0,0,0,0,0,0,0,,,
Mangonia Park Police Department,"1,959",0,0,0,0,6,0,33,0,0,39,,,
North Palm Beach PD,"12,206",0,0,0,0,4,0,10,0,2,16,,,
Ocean Ridge PD,"1,794",0,0,0,0,6,0,0,0,0,6,,,
Pahokee Police Department,"5,839",0,0,1,1,17,0,43,0,0,62,,,
Palm Beach Gardens PD,"50,521",0,0,1,0,2,0,63,1,2,69,,,
Palm Springs Police Department,"22,282",0,0,0,0,15,0,81,0,0,96,,,
Royal Palm Beach Police Department,"36,731",0,0,2,1,28,0,93,1,4,129,,,
South Bay Police Department,"5,151",0,0,0,0,12,0,22,0,0,34,,,
South Palm Beach Police Department,"1,366",0,0,0,0,0,0,1,0,0,1,,,
Tequesta Police Department,"5,665",0,0,0,0,1,0,3,0,0,4,,,
Palm Beach Shores Police Department,"1,143",0,0,0,0,0,0,1,0,0,1,,,
Florida Atlantic University PD,0,0,0,0,0,0,0,2,0,0,2,,,
Highland Beach Police Department,"3,600",0,0,0,0,0,0,2,0,0,2,,,
Palm Beach County School PD,0,0,0,0,0,0,0,4,0,0,4,,,
Lake Clarke Shores PD,"3,375",0,0,0,0,1,2,7,0,1,11,,,
Palm Beach DOC Inspector General,0,0,0,0,0,0,0,0,0,0,0,,,
DABT Palm Beach,0,0,0,0,0,0,0,0,0,0,0,,,
Palm Beach-Div. of Insurance Fraud,0,0,0,0,0,0,0,0,0,0,0,,,
Palm Beach-Florida Game Comm,0,0,0,0,0,0,0,0,0,0,0,,,
FHP - Palm Beach Turnpike Station,0,0,0,0,0,2,0,8,0,0,10,,,
Wellington Police Department,"59,860",0,0,3,1,21,0,69,2,4,100,,,

Pasco County,"487,588",6,0,48,36,333,2,"3,288",15,16,"3,744",,,

Pasco County Sheriffs Office,"447,773",6,0,48,36,282,2,"3,024",11,16,"3,425",,,
Dade City Police Department,"6,816",0,0,0,0,8,0,21,2,0,31,,,
New Port Richey Police Department,"15,351",0,0,0,0,41,0,108,1,0,150,,,
Zephyrhills Police Department,"15,010",0,0,0,0,1,0,97,0,0,98,,,
Port Richey Police Department,"2,638",0,0,0,0,1,0,37,1,0,39,,,
Pasco DOC Inspector General,0,0,0,0,0,0,0,0,0,0,0,,,
DABT Pasco,0,0,0,0,0,0,0,0,0,0,0,,,
Pasco-Florida Game Comm,0,0,0,0,0,0,0,0,0,0,0,,,
FHP - Pasco Co,0,0,0,0,0,0,0,1,0,0,1,,,

Pinellas County,"944,971",4,0,57,20,814,4,"5,763",70,31,"6,763",,,

Pinellas County Sheriffs Office,"276,670",1,0,3,0,204,1,"1,350",36,5,"1,600",,,
Belleair Police Department,"3,889",0,0,0,0,0,0,3,0,2,5,,,
Belleair Bluffs Police Department,"2,052",0,0,0,0,0,0,7,0,0,7,,,
Clearwater Police Department,"110,679",0,0,6,1,131,0,499,9,0,646,,,
Dunedin Police Department,"35,783",0,0,0,0,16,0,140,5,0,161,,,
Gulfport Police Department,"12,222",0,0,0,0,3,0,53,3,0,59,,,
Indian Rocks Beach PD,"4,203",1,0,0,0,2,0,28,0,1,32,,,
Kenneth City Police Department,"5,040",0,0,0,0,2,0,13,0,0,15,,,
Largo Police Department,"80,747",0,0,9,4,35,0,423,6,1,478,,,
Madeira Beach Police Department,"4,341",0,0,0,0,11,0,43,0,0,54,,,
Seminole Police Department,"18,231",0,0,0,0,8,0,75,2,0,85,,,
Oldsmar Police Department,"13,993",0,0,0,0,9,0,55,0,1,65,,,
Pinellas Park Police Department,"51,790",0,0,3,1,55,0,660,0,0,719,,,
Redington Beaches Police Department,"1,438",0,0,0,0,0,0,8,0,0,8,,,
Safety Harbor Police Department,"17,103",0,0,1,0,4,0,53,0,0,58,,,
St. Petersburg Police Department,"256,681",2,0,35,14,283,3,"2,030",5,20,"2,392",,,
St. Pete Beach Police Department,"9,412",0,0,0,0,9,0,81,1,0,91,,,
South Pasadena Police Department,"5,081",0,0,0,0,5,0,13,0,0,18,,,
Indian Shores Police Department,"1,424",0,0,0,0,1,0,1,0,0,2,,,
Tarpon Springs Police Department,"24,421",0,0,0,0,18,0,182,3,0,203,,,
Treasure Island Police Department,"6,790",0,0,0,0,13,0,37,0,1,51,,,
Belleair Beach Police Department,"1,563",0,0,0,0,0,0,2,0,0,2,,,
Pinellas DOC Inspector General,0,0,0,0,0,0,0,0,0,0,0,,,
North Redington Beach PD,"1,418",0,0,0,0,0,0,5,0,0,5,,,
St. Petersburg - Clearwater Airp PD,0,0,0,0,0,0,0,0,0,0,0,,,
Univ. of S. Florida PD - Pinellas,0,0,0,0,0,0,0,0,0,0,0,,,
Pinellas - Div. of Insurance Fraud,0,0,0,0,0,0,0,0,0,0,0,,,
DABT - Pinellas,0,0,0,0,0,0,0,0,0,0,0,,,
Pinellas-Florida Game Comm,0,0,0,0,0,0,0,0,0,0,0,,,
FHP - Pinellas Park,0,0,0,0,0,5,0,2,0,0,7,,,

Polk County,"633,052",9,0,62,14,588,0,"4,216",18,28,"4,935",,,

Polk County Sheriffs Office,"412,363",8,0,41,8,418,0,"2,922",15,17,"3,429",,,
Auburndale Police Department,"14,832",0,0,1,3,4,0,127,0,1,136,,,
Bartow Police Department,"18,205",0,0,2,2,26,0,226,1,1,258,,,
Davenport Police Department,"3,786",0,0,0,0,3,0,36,0,0,39,,,
Florida Polytechnic University PD,0,0,0,0,0,0,0,0,0,0,0,,,
Haines City Police Department,"22,660",1,0,1,0,5,0,130,0,0,137,,,
Lake Alfred Police Department,"5,322",0,0,1,0,2,0,34,0,0,37,,,
Lake Hamilton Police Department,"1,271",0,0,0,0,1,0,16,0,0,17,,,
Lakeland Police Department,"101,517",0,0,13,0,74,0,396,0,8,491,,,
Lake Wales Police Department,"15,011",0,0,0,0,4,0,113,0,1,118,,,
Winter Haven Police Department,"38,085",0,0,3,1,49,0,216,2,0,271,,,
Polk DOC Inspector General,0,0,0,0,0,0,0,0,0,0,0,,,
DABT - Polk,0,0,0,0,0,0,0,0,0,0,0,,,
Polk-Florida Game Comm,0,0,0,0,0,0,0,0,0,0,0,,,
FHP - Lakeland,0,0,0,0,0,2,0,0,0,0,2,,,

Putnam County,"72,756",1,0,4,0,128,0,423,2,0,558,,,

Putnam County Sheriffs Office,"58,749",1,0,3,0,105,0,323,2,0,434,,,
Palatka Police Department,"10,418",0,0,1,0,20,0,76,0,0,97,,,
Crescent City Police Department,"1,540",0,0,0,0,0,0,6,0,0,6,,,
Interlachen Police Department,"1,337",0,0,0,0,1,0,18,0,0,19,,,
Welaka Police Department,712,0,0,0,0,0,0,0,0,0,0,,,
Putnam DOC Inspector General,0,0,0,0,0,0,0,0,0,0,0,,,
DABT Putnam,0,0,0,0,0,0,0,0,0,0,0,,,
Putnam-Florida Game Comm,0,0,0,0,0,0,0,0,0,0,0,,,
FHP - Palatka,0,0,0,0,0,2,0,0,0,0,2,,,

St. Johns County,"213,566",1,0,10,5,134,0,627,3,1,781,,,

St. Johns County Sheriffs Office,"193,496",1,0,10,5,113,0,523,3,1,656,,,
St. Augustine Police Department,"13,590",0,0,0,0,20,0,73,0,0,93,,,
St. Augustine Beach PD,"6,480",0,0,0,0,1,0,30,0,0,31,,,
Florida Sch for Deaf and Blind,0,0,0,0,0,0,0,0,0,0,0,,,
St. Johns DOC Inspector General,0,0,0,0,0,0,0,0,0,0,0,,,
DABT St. Johns,0,0,0,0,0,0,0,0,0,0,0,,,
St. Johns-Florida Game Comm,0,0,0,0,0,0,0,0,0,0,0,,,
FHP - St. Augustine,0,0,0,0,0,0,0,1,0,0,1,,,

St. Lucie County,"287,749",0,0,11,2,197,0,"1,243",11,2,"1,466",,,

St. Lucie County Sheriffs Office,"71,498",0,0,3,0,52,0,276,0,0,331,,,
Fort Pierce Police Department,"42,119",0,0,8,1,48,0,438,4,2,501,,,
Port St. Lucie Police Department,"174,132",0,0,0,1,97,0,528,7,0,633,,,
St. Lucie DOC Inspector General,0,0,0,0,0,0,0,0,0,0,0,,,
DABT - St. Lucie,0,0,0,0,0,0,0,0,0,0,0,,,
St. Lucie-Florida Game Comm,0,0,0,0,0,0,0,0,0,0,0,,,
FHP - Fort Pierce,0,0,0,0,0,0,0,1,0,0,1,,,

Santa Rosa County,"162,925",0,0,11,12,71,1,572,16,0,683,,,

Santa Rosa County Sheriffs Office,"147,668",0,0,11,12,66,1,544,14,0,648,,,
Milton Police Department,"9,425",0,0,0,0,5,0,26,1,0,32,,,
Gulf Breeze Police Department,"5,832",0,0,0,0,0,0,2,1,0,3,,,
Santa Rosa DOC Inspector General,0,0,0,0,0,0,0,0,0,0,0,,,
DABT Santa Rosa,0,0,0,0,0,0,0,0,0,0,0,,,
Santa Rosa-Florida Game Comm,0,0,0,0,0,0,0,0,0,0,0,,,
FHP - Santa Rosa Co,0,0,0,0,0,0,0,0,0,0,0,,,

Sarasota County,"387,623",5,1,21,1,198,2,"1,151",20,1,"1,400",,,

Sarasota County Sheriffs Office,"251,065",4,1,12,0,125,2,756,3,0,903,,,
Sarasota Police Department,"52,905",1,0,5,1,51,0,200,10,1,269,,,
Venice Police Department,"21,418",0,0,2,0,10,0,61,0,0,73,,,
North Port Police Department,"62,235",0,0,2,0,11,0,134,7,0,154,,,
Sarasota/Bradenton Intl. Airport PD,0,0,0,0,0,0,0,0,0,0,0,,,
New College of Florida,0,0,0,0,0,0,0,0,0,0,0,,,
Sarasota DOC Inspector General,0,0,0,0,0,0,0,0,0,0,0,,,
DABT - Sarasota,0,0,0,0,0,0,0,0,0,0,0,,,
Sarasota-Florida Game Comm,0,0,0,0,0,0,0,0,0,0,0,,,
FHP - Venice,0,0,0,0,0,1,0,0,0,0,1,,,

Seminole County,"442,903",0,1,10,3,410,10,"1,876",27,13,"2,350",,,

Seminole County Sheriffs Office,"213,465",0,0,4,1,151,7,580,2,8,753,,,
Altamonte Springs Police Department,"43,325",0,0,2,0,50,1,210,0,1,264,,,
Casselberry Police Department,"27,614",0,1,1,1,44,0,205,10,0,262,,,
Longwood Police Department,"13,974",0,0,0,0,13,0,79,0,1,93,,,
Oviedo Police Department,"36,819",0,0,0,0,23,0,127,3,1,154,,,
Sanford Police Department,"56,900",0,0,1,0,106,2,517,2,1,629,,,
Winter Springs Police Department,"34,901",0,0,1,0,9,0,118,0,0,128,,,
Lake Mary Police Department,"15,905",0,0,1,1,14,0,40,10,1,67,,,
Seminole DOC Inspector General,0,0,0,0,0,0,0,0,0,0,0,,,
DABT Seminole,0,0,0,0,0,0,0,0,0,0,0,,,
Seminole-Florida Game Comm,0,0,0,0,0,0,0,0,0,0,0,,,
FHP - Seminole Co,0,0,0,0,0,0,0,0,0,0,0,,,

Sumter County,"115,657",0,0,5,0,70,0,212,1,0,288,,,

Sumter County Sheriffs Office,"105,741",0,0,5,0,57,0,184,0,0,246,,,
Center Hill Police Department,981,0,0,0,0,1,0,2,0,0,3,,,
Coleman Police Department,694,DNR,--,--,--,--,--,--,--,--,--,,,
Webster Police Department,768,0,0,0,0,1,0,4,0,0,5,,,
Wildwood Police Department,"7,473",0,0,0,0,11,0,21,1,0,33,,,
Sumter DOC Inspector General,0,0,0,0,0,0,0,0,0,0,0,,,
DABT - Sumter,0,0,0,0,0,0,0,0,0,0,0,,,
Sumter-Florida Game Comm,0,0,0,0,0,0,0,0,0,0,0,,,
FHP - Sumter Co,0,0,0,0,0,0,0,1,0,0,1,,,

Suwannee County,"44,452",1,0,1,2,43,0,172,0,0,219,,,

Suwannee County Sheriffs Office,"37,599",1,0,1,1,23,0,123,0,0,149,,,
Live Oak Police Department,"6,853",0,0,0,1,20,0,49,0,0,70,,,
Suwannee DOC Inspector General,0,0,0,0,0,0,0,0,0,0,0,,,
DABT - Suwannee,0,0,0,0,0,0,0,0,0,0,0,,,
Suwannee-Florida Game Comm,0,0,0,0,0,0,0,0,0,0,0,,,
FHP - Suwannee Co,0,0,0,0,0,0,0,0,0,0,0,,,

Taylor County,"22,824",1,0,1,0,131,0,146,2,3,284,,,

Taylor County Sheriffs Office,"15,808",1,0,0,0,102,0,70,1,2,176,,,
Perry Police Department,"7,016",0,0,1,0,29,0,76,1,1,108,,,
Taylor DOC Inspector General,0,0,0,0,0,0,0,0,0,0,0,,,
DABT Taylor,0,0,0,0,0,0,0,0,0,0,0,,,
Taylor-Florida Game Comm,0,0,0,0,0,0,0,0,0,0,0,,,
FHP - Perry,0,0,0,0,0,0,0,0,0,0,0,,,

Union County,"15,918",0,0,0,0,8,0,25,1,0,34,,,

Union County Sheriffs Office,"15,918",0,0,0,0,8,0,25,1,0,34,,,
Union DOC Inspector General,0,0,0,0,0,0,0,0,0,0,0,,,
DABT Union,0,0,0,0,0,0,0,0,0,0,0,,,
Union-Florida Game Comm,0,0,0,0,0,0,0,0,0,0,0,,,
FHP - Union Co,0,0,0,0,0,0,0,0,0,0,0,,,

Volusia County,"510,434",10,0,35,21,823,13,"3,643",34,10,"4,589",,,

Volusia County Sheriffs Office,"226,715",3,0,18,15,208,0,"1,295",24,1,"1,564",,,
Daytona Beach Police Department,"63,534",2,0,11,3,344,2,"1,220",7,4,"1,593",,,
Deland Police Department,"30,493",1,0,0,1,41,0,111,2,0,156,,,
New Smyrna Beach Police Department,"24,285",1,0,1,0,37,5,164,0,3,211,,,
Ormond Beach Police Department,"40,013",2,0,0,1,101,6,253,0,0,363,,,
Daytona Beach Shores PD,"4,263",0,0,0,0,3,0,43,0,0,46,,,
Edgewater Police Department,"20,958",0,0,0,0,11,0,20,0,1,32,,,
Holly Hill Police Department,"11,712",1,0,0,1,19,0,256,0,0,277,,,
Lake Helen Police Department,"2,651",0,0,1,0,2,0,11,0,0,14,,,
Orange City Police Department,"11,569",0,0,2,0,11,0,50,0,0,63,,,
Port Orange Police Department,"58,656",0,0,2,0,8,0,148,0,1,159,,,
South Daytona Police Department,"12,538",0,0,0,0,32,0,62,1,0,95,,,
Ponce Inlet Police Department,"3,047",0,0,0,0,5,0,8,0,0,13,,,
